Ticker,Name,Industry,Year,Financial Statement,Cash,Short Term Investment Cash,Cash & Short Term Investments,Accounts Receivables,Inventories,Other Current Assets,Total Current Assets,"Gross Property, Plant and Equipment",Total Depreciation,Intangible Assets,Total Other Assets,Total Assets,Accounts Payable,Short Term Debt,Accrued Expenses (Liability),Other Current Liabilities,Other Liabilities,Long Term Debt,Deferred Taxes (Liability),Other Liabilities 1,Total Liabilities,Minority Interest (Equity),Preferred Stock (Equity),Common Equity,Total Shareholder Equity,Common Shares Outstanding,Prepaid Expenses,Cash Due From Banks (Asset),Ticker (Income Statement Data),Year (Income Statement Data),Financial Statement (Income Statement Data),Net Revenues,Cost of Goods Sold,Depreciation And Amortization Expense,Gross Income,General Expenses,Research And Development Expense,Total Operating Expenses,Operating Income,Extraordinary Credit,Extraordinary Charge,Interest Expense On Debt,Other Non-Operating Expenses,Pre-Tax Income,Income Tax Expense,Net Income,Shares To Calculate EPS,Shares To Calculate EPS Diluted,Earnings Per Share,Diluted Earnings Per share,Discontinued Operations,Extraordinary Items,Minority Interest,Pre-Tax Equity Earnings,Equity In Earnings,Other Operating Expenses,Preferred Dividend,Other Operating Income,Loan Loss Provision,Interest Expense Total,Interest Income,Non-Interest Income Total,Non-Interest Expense,Underwriting Expenses,Premiums Earned,Claim And Loss,Asset Turnover for Industry,Net Income for Industry,Equity for Industry,Sales for Industry,Assets for Industry,Positive Net Income,ROE for Industry,ROE (Income/Equity),Profit Margin (Income/Sales),Asset Turnover (Sales/Assets),Financial Leverage (Assets/Equity),Financial Leverage for Industry,Profit Margin for Industry
F,Ford Motor Company,Capital Goods,2013,Balance Sheet,14500000000,-1200000000,36600000000,87300000000,7700000000,0,131600000000,82200000000,-34600000000,85000000,5700000000,202000000000,19500000000,38100000000,262000000,14100000000,74100000000,76600000000,-12700000000,5800000000,175300000000,-7000000,0,26400000000,26400000000,4000000000,0,0,F,2013,Income Statement,146900000000,115000000000,6500000000,25400000000,18700000000,6400000000,140200000000,6700000000,0,-1400000000,847000000,1300000000,7000000000,-147000000,7200000000,3900000000,4100000000,2,2,0,0,-7000000,1100000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,0,0
GM,General Motors Company,Capital Goods,2013,Balance Sheet,10400000000,1600000000,30200000000,22800000000,14000000000,14400000000,81500000000,36700000000,-7400000000,7200000000,9600000000,166300000000,23600000000,14200000000,21100000000,22300000000,62400000000,22000000000,-22700000000,9700000000,123200000000,-15000000,3100000000,39500000000,42600000000,1500000000,0,0,GM,2013,Income Statement,155400000000,130300000000,5900000000,19200000000,12400000000,7200000000,148600000000,6800000000,0,-1900000000,415000000,830000000,7500000000,-2100000000,5300000000,1400000000,1700000000,2,2,0,0,-15000000,1800000000,0,0,-1600000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0
TASR,Taser International Inc.,Capital Goods,2013,Balance Sheet,37200000,6100000,51400000,22500000,11100000,12500000,97500000,50400000,-31400000,5600000,6200000,148400000,6200000,36000,6300000,14300000,23100000,67000,-13700000,0,40000000,0,0,108300000,108300000,52700000,0,0,TASR,2013,Income Statement,137800000,48100000,5100000,84600000,55200000,9900000,108500000,29400000,0,-1500000,0,27000,28000000,-9800000,18200000,51900000,54200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
TM,Toyota Motor Corp. ADR,Capital Goods,2013,Balance Sheet,18300000000,471600000,34800000000,80000000000,18200000000,13600000000,146600000000,193800000000,-121000000000,0,5000000000,377400000000,22500000000,72300000000,23200000000,40700000000,137300000000,78000000000,-13700000000,3300000000,241500000000,-1500000000,0,129200000000,129200000000,1600000000,0,0,TM,2013,Income Statement,266100000000,210400000000,13300000000,42400000000,25400000000,9700000000,249100000000,17000000000,0,-1800000000,277000000,774700000,16900000000,-6700000000,11600000000,1600000000,1600000000,7,7,0,0,-1500000000,0,2800000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0
WGBS,WaferGen Bio-systems Inc.,Capital Goods,2013,Balance Sheet,10700000,4400000,10700000,367300,292700,350500,11700000,2300000,-2100000,0,42200,12000000,980900,0,1100000,1100000,2400000,1700000,0,9100000,13200000,0,13600000,-14800000,-1200000,911300,0,0,WGBS,2013,Income Statement,1300000,228000,692500,384300,10300000,5400000,11200000,-9900000,--,-8000000,2900000,4600000,-16300000,-6300,-16300000,304500,304500,-58,-58,0,0,0,0,0,0,-1400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-13,0,-10,0,0
AXDX,Accelerate Diagnostics Inc.,Capital Goods,2013,Balance Sheet,30000000,18000000,42000000,24400,0,130200,42100000,1700000,-626800,240700,240700,43400000,540400,0,0,81900,1100000,0,0,0,1900000,0,0,41500000,41500000,41600000,0,0,AXDX,2013,Income Statement,48300,0,362500,0,15000000,10700000,15300000,-15300000,-??,-11400,0,-4400,-15300000,0,-15300000,37500000,37500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-317,0,1,0,0
AVAV,AeroVironment Inc.,Capital Goods,2013,Balance Sheet,75300000,11100000,148600000,42900000,62600000,9500000,263500000,78800000,-54400000,0,1100000,363500000,16100000,0,0,13900000,42200000,0,-5600000,0,48300000,0,0,315200000,315200000,22600000,0,0,AVAV,2013,Income Statement,240200000,136700000,10900000,92500000,88700000,37200000,236400000,3800000,-??,-??,0,6200000,10800000,-347000,10400000,22100000,22400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
GD,General Dynamis Corporation,Capital Goods,2013,Balance Sheet,5300000000,2000000000,5300000000,9200000000,3000000000,435000000,17900000000,7200000000,-3800000000,13200000000,13700000000,35400000000,2200000000,1000000,0,8300000000,12200000000,3900000000,-279000000,1600000000,20900000000,0,0,14500000000,14500000000,353400000,0,0,GD,2013,Income Statement,31200000000,24900000000,556000000,5800000000,2000000000,310000000,27400000000,3800000000,-??,-98000000,103000000,-4000000,3600000000,-1100000000,2400000000,350700000,353500000,7,7,-129000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0
LMT,Lockheed Martin Corp.,Capital Goods,2013,Balance Sheet,2600000000,719000000,2600000000,5800000000,3000000000,1900000000,13300000000,13400000000,-8700000000,11000000000,14400000000,36200000000,1400000000,0,0,7900000000,11100000000,6200000000,-2900000000,3700000000,31300000000,0,0,4900000000,4900000000,321000000,0,0,LMT,2013,Income Statement,45400000000,39200000000,990000000,5200000000,697000000,697000000,40800000000,4500000000,-??,-396000000,350000000,61000000,4200000000,-1200000000,3000000000,320900000,326500000,9,9,31000000,0,0,321000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,7,0,0
LDL,Lydall Inc.,Capital Goods,2013,Balance Sheet,75400000,11800000,75400000,53900000,34900000,8000000,172300000,265500000,-186600000,22100000,23000000,274700000,29800000,663000,6000000,6000000,48700000,1100000,-8200000,2000000,74600000,0,0,200100000,200100000,16800000,0,0,LDL,2013,Income Statement,398000000,300200000,12600000,85200000,54300000,7600000,367100000,30900000,-??,-2200000,304000,-67000,28300000,-9200000,19200000,16600000,16900000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
