Date,Libor_GBP
3/25/2020,0.2475
3/24/2020,0.2382
3/23/2020,0.2328
3/20/2020,0.2369
3/19/2020,0.2878
3/18/2020,0.2722
3/17/2020,0.2561
3/16/2020,0.2534
3/13/2020,0.2818
3/12/2020,0.267
3/11/2020,0.2609
3/10/2020,0.5219
3/9/2020,0.4964
3/6/2020,0.559
3/5/2020,0.5724
3/4/2020,0.5066
3/3/2020,0.6358
3/2/2020,0.6178
2/28/2020,0.6767
2/27/2020,0.7074
2/26/2020,0.7127
2/25/2020,0.7099
2/24/2020,0.71
2/21/2020,0.7104
2/20/2020,0.7129
2/19/2020,0.7105
2/18/2020,0.71
2/17/2020,0.7091
2/14/2020,0.7076
2/13/2020,0.7085
2/12/2020,0.71
2/11/2020,0.7073
2/10/2020,0.7034
2/7/2020,0.7033
2/6/2020,0.7061
2/5/2020,0.7075
2/4/2020,0.7064
2/3/2020,0.7065
1/31/2020,0.708
1/30/2020,0.622
1/29/2020,0.6298
1/28/2020,0.6155
1/27/2020,0.6175
1/24/2020,0.6306
1/23/2020,0.6335
1/22/2020,0.6286
1/21/2020,0.6326
1/20/2020,0.6392
1/17/2020,0.6464
1/16/2020,0.6581
1/15/2020,0.6595
1/14/2020,0.6806
1/13/2020,0.6713
1/10/2020,0.6903
1/9/2020,0.6937
1/8/2020,0.7019
1/7/2020,0.7036
1/6/2020,0.7035
1/3/2020,0.7054
1/2/2020,0.7021
12/31/2019,0.7039
12/30/2019,0.7077
12/27/2019,0.7097
12/24/2019,0.7069
12/23/2019,0.7064
12/20/2019,0.7056
12/19/2019,0.7025
12/18/2019,0.7036
12/17/2019,0.7091
12/16/2019,0.7135
12/13/2019,0.7196
12/12/2019,0.7007
12/11/2019,0.6971
12/10/2019,0.702
12/9/2019,0.7096
12/6/2019,0.7066
12/5/2019,0.7081
12/4/2019,0.7096
12/3/2019,0.7037
12/2/2019,0.704
11/29/2019,0.7054
11/28/2019,0.7073
11/27/2019,0.7134
11/26/2019,0.7139
11/25/2019,0.7129
11/22/2019,0.7134
11/21/2019,0.7171
11/20/2019,0.7139
11/19/2019,0.7133
11/18/2019,0.7117
11/15/2019,0.7117
11/14/2019,0.712
11/13/2019,0.7123
11/12/2019,0.7151
11/11/2019,0.7155
11/8/2019,0.7161
11/7/2019,0.7173
11/6/2019,0.7166
11/5/2019,0.7159
11/4/2019,0.7136
11/1/2019,0.7135
10/31/2019,0.7133
10/30/2019,0.7141
10/29/2019,0.7127
10/28/2019,0.7116
10/25/2019,0.7124
10/24/2019,0.7144
10/23/2019,0.7114
10/22/2019,0.7111
10/21/2019,0.7111
10/18/2019,0.7105
10/17/2019,0.7145
10/16/2019,0.7117
10/15/2019,0.7141
10/14/2019,0.7144
10/11/2019,0.7164
10/10/2019,0.7103
10/9/2019,0.7094
10/8/2019,0.7135
10/7/2019,0.7146
10/4/2019,0.714
10/3/2019,0.7156
