Date,GBP/USD_spot
3/26/2020,1.2135
3/25/2020,1.1761
3/24/2020,1.1772
3/23/2020,1.1492
3/20/2020,1.1741
3/19/2020,1.1658
3/18/2020,1.1763
3/17/2020,1.2016
3/16/2020,1.2277
3/13/2020,1.2406
3/12/2020,1.254
3/11/2020,1.2887
3/10/2020,1.2932
3/9/2020,1.311
3/6/2020,1.3029
3/5/2020,1.2922
3/4/2020,1.2821
3/3/2020,1.2819
3/2/2020,1.2748
2/28/2020,1.2776
2/27/2020,1.2873
2/26/2020,1.2917
2/25/2020,1.3016
2/24/2020,1.2924
2/21/2020,1.2962
2/20/2020,1.2881
2/19/2020,1.2951
2/18/2020,1.3037
2/17/2020,1.3006
2/14/2020,1.3016
2/13/2020,1.3055
2/12/2020,1.2975
2/11/2020,1.2945
2/10/2020,1.2923
2/7/2020,1.2939
2/6/2020,1.2929
2/5/2020,1.2984
2/4/2020,1.3025
2/3/2020,1.3013
1/31/2020,1.3179
1/30/2020,1.31
1/29/2020,1.3
1/28/2020,1.2983
1/27/2020,1.3056
1/24/2020,1.3067
1/23/2020,1.3118
1/22/2020,1.3141
1/21/2020,1.3058
1/20/2020,1.2998
1/17/2020,1.3029
1/16/2020,1.3067
1/15/2020,1.3023
1/14/2020,1.301
1/13/2020,1.2979
1/10/2020,1.3062
1/9/2020,1.3049
1/8/2020,1.3099
1/7/2020,1.3122
1/6/2020,1.3159
1/3/2020,1.3072
1/2/2020,1.3189
12/31/2019,1.321
12/30/2019,1.3115
12/27/2019,1.3094
12/25/2019,1.2948
12/24/2019,1.2948
12/23/2019,1.2926
12/20/2019,1.3049
12/19/2019,1.3029
12/18/2019,1.3073
12/17/2019,1.3139
12/16/2019,1.3334
12/13/2019,1.3343
12/12/2019,1.3119
12/11/2019,1.3177
12/10/2019,1.3171
12/9/2019,1.3155
12/6/2019,1.3105
12/5/2019,1.3155
12/4/2019,1.3107
12/3/2019,1.2993
12/2/2019,1.2922
11/29/2019,1.2936
11/28/2019,1.2903
11/27/2019,1.2875
11/26/2019,1.2838
11/25/2019,1.2907
11/22/2019,1.2834
11/21/2019,1.2925
11/20/2019,1.2911
11/19/2019,1.2932
11/18/2019,1.2966
11/15/2019,1.2896
11/14/2019,1.2857
11/13/2019,1.2839
11/12/2019,1.2839
11/11/2019,1.2872
11/8/2019,1.2792
11/7/2019,1.2822
11/6/2019,1.2874
11/5/2019,1.2866
11/4/2019,1.2906
11/1/2019,1.2947
10/31/2019,1.2939
10/30/2019,1.2871
10/29/2019,1.2904
10/28/2019,1.2858
10/25/2019,1.2832
10/24/2019,1.2848
10/23/2019,1.2882
10/22/2019,1.2908
10/21/2019,1.2983
10/18/2019,1.2899
10/17/2019,1.2842
10/16/2019,1.2804
10/15/2019,1.2777
10/14/2019,1.2586
10/11/2019,1.2683
10/10/2019,1.2282
10/9/2019,1.2218
10/8/2019,1.2214
10/7/2019,1.2321
10/4/2019,1.2294
10/3/2019,1.2407
10/2/2019,1.2304
10/1/2019,1.2223
9/30/2019,1.232
9/27/2019,1.2309
9/26/2019,1.2334
9/25/2019,1.2379
9/24/2019,1.2479
9/23/2019,1.243
9/20/2019,1.2501
9/19/2019,1.2488
9/18/2019,1.2484
9/17/2019,1.2482
9/16/2019,1.242
9/13/2019,1.246
9/12/2019,1.2332
9/11/2019,1.2343
9/10/2019,1.2354
9/9/2019,1.2344
9/6/2019,1.2313
9/5/2019,1.2325
9/4/2019,1.2192
9/3/2019,1.2092
9/2/2019,1.2062
8/30/2019,1.2183
8/29/2019,1.2205
