length_of_formation_period,length_of_test_period,month_number,ACAR_W,ACAR_L,no_of_intervals,s,T
1,6,1,0.17163576039019485,-0.140351032752947,40,0.0040790234563610256,-375019.45668781095
1,6,3,0.16016016426671772,-0.13984724991094516,40,0.006044824905192848,-164208.08343242595
1,6,6,0.14360773212829864,-0.141101195274698,40,0.010876685476806402,-48132.44692318777
3,6,1,0.3107948171173403,-0.22369171914941713,38,0.01018136790158096,-97966.61651025472
3,6,3,0.292108191100171,-0.22325401709435921,38,0.009985227205762686,-98208.76881742051
3,6,6,0.2604836509093855,-0.22844574436983162,38,0.012655373511798195,-58002.914265717875
6,12,1,0.45667596034458385,-0.2825549987757288,29,0.014541775512711325,-50688.947911428775
6,12,3,0.4295974092315934,-0.2808860895445863,29,0.016282029340515636,-38860.191098264346
6,12,6,0.38223161872144784,-0.2836951063780814,29,0.02082053134441531,-22274.64696033388
6,12,9,0.34079522452820044,-0.3005126829322135,29,0.02203000312778104,-19160.44006692262
6,12,12,0.3072102432703496,-0.3079270172800545,29,0.024335807625210877,-15060.816225443525
9,12,1,0.5422907441793183,-0.3215865348087219,26,0.017275373738510114,-37630.54433062116
9,12,3,0.5070103251426243,-0.31952638931022803,26,0.01950242564290654,-28250.636711012205
9,12,6,0.45539407752245076,-0.3270349595903866,26,0.019405009789513303,-27012.238734341285
9,12,9,0.4025792991913105,-0.3344874519666415,26,0.02170400960252987,-20340.90292896184
9,12,12,0.34048516353607483,-0.3386740836074049,26,0.022183181942730876,-17941.852750627397
12,12,1,0.6082429412776109,-0.3493417962526715,23,0.024776299183686956,-17939.163267756678
12,12,3,0.5655945122894018,-0.3468696308101515,23,0.017508872923693044,-34229.24075224288
12,12,6,0.5138868193863466,-0.3445711030013459,23,0.020689260106252074,-23063.591329371906
12,12,9,0.44597461722442233,-0.3475892245850791,23,0.025225248937924757,-14341.969348685026
12,12,12,0.36670025876424345,-0.35346501911568423,23,0.0219668820898357,-17162.99914984828
